29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (01C32078)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (01C32120)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (01C321C8)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (01C32270)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (01C32318)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (01C323C0)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (01C32468)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (01C32510)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (01C325B8)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (01C32660)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (01C32708)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (01C327B0)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (01C32858)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (01C32900)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (01C329A8)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (01C32A50)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (01C32AF8)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (01C32BA0)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (01C32C48)
29/04/2011 21:46:44 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
29/04/2011 21:46:44 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (01C32CF0)
29/04/2011 21:46:44 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
29/04/2011 21:46:44 (Std) 	CEGUI::System singleton created. (0493A780)
29/04/2011 21:46:44 (Std) 	---- CEGUI System initialisation completed ----
29/04/2011 21:46:44 (Std) 	
29/04/2011 21:46:44 (Std) 	Started creation of Scheme from XML specification:
29/04/2011 21:46:44 (Std) 	---- CEGUI GUIScheme name: TaharezLook
29/04/2011 21:46:44 (Std) 	Started creation of Imageset from XML specification:
29/04/2011 21:46:44 (Std) 	---- CEGUI Imageset name: TaharezLook
29/04/2011 21:46:44 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
29/04/2011 21:46:44 (Std) 	Started creation of Font from XML specification:
29/04/2011 21:46:44 (Std) 	---- CEGUI font name: DejaVuSans-10
29/04/2011 21:46:44 (Std) 	----       Font type: FreeType
29/04/2011 21:46:44 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
29/04/2011 21:46:44 (Std) 	---- Real point size: 10
29/04/2011 21:46:45 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
29/04/2011 21:46:45 (Std) 	===== Look and feel parsing completed =====
29/04/2011 21:46:45 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Button' added. (04A3B988)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Default' added. (04A3BA30)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (04A3BE20)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (04A3BEC8)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (04A3BF70)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (04A3C018)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (04A3C0C0)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (04A3C168)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (04A3C210)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (04A3C2B8)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (04A3C360)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (04A3C408)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (04A3C4B0)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (04A3C558)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (04A3C600)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (04A3C6A8)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (04A3C750)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/Static' added. (04A3C7F8)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (04A3C8A0)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (04A3C948)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (04A3C9F0)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (04A3CA98)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
29/04/2011 21:46:45 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (04A3CB40)
29/04/2011 21:46:45 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
